date;close;open;high;low
24/05/1928;19.87;19.87;19.87;19.87
25/05/1928;19.9;19.9;19.9;19.9
28/05/1928;19.57;19.57;19.57;19.57
29/05/1928;19.82;19.82;19.82;19.82
30/05/1928;19.82;19.82;19.82;19.82
31/05/1928;20;20;20;20
01/06/1928;20.07;20.07;20.07;20.07
04/06/1928;19.8;19.8;19.8;19.8
05/06/1928;19.85;19.85;19.85;19.85
06/06/1928;19.66;19.66;19.66;19.66
07/06/1928;19.61;19.61;19.61;19.61
08/06/1928;19.37;19.37;19.37;19.37
11/06/1928;18.68;18.68;18.68;18.68
12/06/1928;18.34;18.34;18.34;18.34
13/06/1928;18.89;18.89;18.89;18.89
14/06/1928;19.05;19.05;19.05;19.05
15/06/1928;18.74;18.74;18.74;18.74
18/06/1928;18.4;18.4;18.4;18.4
19/06/1928;18.34;18.34;18.34;18.34
20/06/1928;18.57;18.57;18.57;18.57
21/06/1928;18.56;18.56;18.56;18.56
22/06/1928;18.54;18.54;18.54;18.54
25/06/1928;18.47;18.47;18.47;18.47
26/06/1928;18.68;18.68;18.68;18.68
27/06/1928;18.86;18.86;18.86;18.86
28/06/1928;19.07;19.07;19.07;19.07
29/06/1928;19.14;19.14;19.14;19.14
02/07/1928;18.98;18.98;18.98;18.98
03/07/1928;19.29;19.29;19.29;19.29
04/07/1928;19.29;19.29;19.29;19.29
05/07/1928;19.48;19.48;19.48;19.48
06/07/1928;19.39;19.39;19.39;19.39
09/07/1928;19.46;19.46;19.46;19.46
10/07/1928;19.43;19.43;19.43;19.43
11/07/1928;18.95;18.95;18.95;18.95
12/07/1928;18.81;18.81;18.81;18.81
13/07/1928;18.96;18.96;18.96;18.96
16/07/1928;18.7;18.7;18.7;18.7
17/07/1928;18.8;18.8;18.8;18.8
18/07/1928;19.03;19.03;19.03;19.03
19/07/1928;18.99;18.99;18.99;18.99
20/07/1928;19.03;19.03;19.03;19.03
23/07/1928;19.12;19.12;19.12;19.12
24/07/1928;19.09;19.09;19.09;19.09
25/07/1928;19.2;19.2;19.2;19.2
26/07/1928;19.24;19.24;19.24;19.24
27/07/1928;19.42;19.42;19.42;19.42
30/07/1928;19.47;19.47;19.47;19.47
31/07/1928;19.43;19.43;19.43;19.43
01/08/1928;19.42;19.42;19.42;19.42
02/08/1928;19.33;19.33;19.33;19.33
03/08/1928;19.36;19.36;19.36;19.36
06/08/1928;19.58;19.58;19.58;19.58
07/08/1928;19.49;19.49;19.49;19.49
08/08/1928;19.25;19.25;19.25;19.25
09/08/1928;19.3;19.3;19.3;19.3
10/08/1928;19.25;19.25;19.25;19.25
13/08/1928;19.29;19.29;19.29;19.29
14/08/1928;19.13;19.13;19.13;19.13
15/08/1928;19.47;19.47;19.47;19.47
16/08/1928;19.61;19.61;19.61;19.61
17/08/1928;19.64;19.64;19.64;19.64
20/08/1928;19.77;19.77;19.77;19.77
21/08/1928;20.02;20.02;20.02;20.02
22/08/1928;20;20;20;20
23/08/1928;20.02;20.02;20.02;20.02
24/08/1928;20.34;20.34;20.34;20.34
27/08/1928;20.38;20.38;20.38;20.38
28/08/1928;20.54;20.54;20.54;20.54
29/08/1928;20.58;20.58;20.58;20.58
30/08/1928;20.61;20.61;20.61;20.61
31/08/1928;20.87;20.87;20.87;20.87
03/09/1928;20.87;20.87;20.87;20.87
04/09/1928;20.97;20.97;20.97;20.97
05/09/1928;21.07;21.07;21.07;21.07
06/09/1928;20.94;20.94;20.94;20.94
07/09/1928;21.09;21.09;21.09;21.09
10/09/1928;20.92;20.92;20.92;20.92
11/09/1928;21.08;21.08;21.08;21.08
12/09/1928;21.16;21.16;21.16;21.16
13/09/1928;21.14;21.14;21.14;21.14
14/09/1928;21.14;21.14;21.14;21.14
17/09/1928;21.33;21.33;21.33;21.33
18/09/1928;21.18;21.18;21.18;21.18
19/09/1928;21.18;21.18;21.18;21.18
20/09/1928;21.22;21.22;21.22;21.22
21/09/1928;21.36;21.36;21.36;21.36
24/09/1928;21.43;21.43;21.43;21.43
25/09/1928;21.41;21.41;21.41;21.41
26/09/1928;21.4;21.4;21.4;21.4
27/09/1928;21.13;21.13;21.13;21.13
28/09/1928;21.14;21.14;21.14;21.14
01/10/1928;21.36;21.36;21.36;21.36
02/10/1928;21.26;21.26;21.26;21.26
03/10/1928;21.19;21.19;21.19;21.19
04/10/1928;21.26;21.26;21.26;21.26
05/10/1928;21.22;21.22;21.22;21.22
08/10/1928;21.11;21.11;21.11;21.11
09/10/1928;21.18;21.18;21.18;21.18
10/10/1928;21.41;21.41;21.41;21.41
11/10/1928;21.51;21.51;21.51;21.51
12/10/1928;21.51;21.51;21.51;21.51
15/10/1928;21.65;21.65;21.65;21.65
16/10/1928;21.72;21.72;21.72;21.72
17/10/1928;21.79;21.79;21.79;21.79
18/10/1928;21.84;21.84;21.84;21.84
19/10/1928;21.96;21.96;21.96;21.96
22/10/1928;21.81;21.81;21.81;21.81
23/10/1928;21.95;21.95;21.95;21.95
24/10/1928;21.99;21.99;21.99;21.99
25/10/1928;21.91;21.91;21.91;21.91
26/10/1928;21.65;21.65;21.65;21.65
29/10/1928;22;22;22;22
30/10/1928;21.76;21.76;21.76;21.76
31/10/1928;21.68;21.68;21.68;21.68
01/11/1928;21.99;21.99;21.99;21.99
02/11/1928;21.95;21.95;21.95;21.95
05/11/1928;22.24;22.24;22.24;22.24
06/11/1928;22.5;22.5;22.5;22.5
07/11/1928;22.5;22.5;22.5;22.5
08/11/1928;22.39;22.39;22.39;22.39
09/11/1928;22.55;22.55;22.55;22.55
12/11/1928;22.84;22.84;22.84;22.84
13/11/1928;22.91;22.91;22.91;22.91
14/11/1928;22.91;22.91;22.91;22.91
15/11/1928;23.03;23.03;23.03;23.03
16/11/1928;23.37;23.37;23.37;23.37
19/11/1928;23.37;23.37;23.37;23.37
20/11/1928;23.57;23.57;23.57;23.57
21/11/1928;23.22;23.22;23.22;23.22
22/11/1928;23.52;23.52;23.52;23.52
23/11/1928;23.7;23.7;23.7;23.7
26/11/1928;23.8;23.8;23.8;23.8
27/11/1928;23.91;23.91;23.91;23.91
28/11/1928;24.19;24.19;24.19;24.19
29/11/1928;24.19;24.19;24.19;24.19
30/11/1928;24.28;24.28;24.28;24.28
03/12/1928;23.85;23.85;23.85;23.85
04/12/1928;23.91;23.91;23.91;23.91
05/12/1928;23.81;23.81;23.81;23.81
06/12/1928;22.91;22.91;22.91;22.91
07/12/1928;22.36;22.36;22.36;22.36
10/12/1928;22.31;22.31;22.31;22.31
11/12/1928;22.74;22.74;22.74;22.74
12/12/1928;22.52;22.52;22.52;22.52
13/12/1928;22.48;22.48;22.48;22.48
14/12/1928;22.53;22.53;22.53;22.53
17/12/1928;22.44;22.44;22.44;22.44
18/12/1928;22.7;22.7;22.7;22.7
19/12/1928;22.98;22.98;22.98;22.98
20/12/1928;23.07;23.07;23.07;23.07
21/12/1928;23.33;23.33;23.33;23.33
24/12/1928;23.54;23.54;23.54;23.54
25/12/1928;23.54;23.54;23.54;23.54
26/12/1928;23.44;23.44;23.44;23.44
27/12/1928;23.64;23.64;23.64;23.64
28/12/1928;23.98;23.98;23.98;23.98
31/12/1928;24.35;24.35;24.35;24.35
01/01/1929;24.35;24.35;24.35;24.35
02/01/1929;24.81;24.81;24.81;24.81
03/01/1929;24.86;24.86;24.86;24.86
04/01/1929;24.85;24.85;24.85;24.85
07/01/1929;24.25;24.25;24.25;24.25
08/01/1929;24.17;24.17;24.17;24.17
09/01/1929;24.54;24.54;24.54;24.54
10/01/1929;24.58;24.58;24.58;24.58
11/01/1929;24.54;24.54;24.54;24.54
14/01/1929;24.59;24.59;24.59;24.59
15/01/1929;24.23;24.23;24.23;24.23
16/01/1929;24.56;24.56;24.56;24.56
17/01/1929;24.69;24.69;24.69;24.69
18/01/1929;24.77;24.77;24.77;24.77
21/01/1929;24.86;24.86;24.86;24.86
22/01/1929;25.07;25.07;25.07;25.07
23/01/1929;25.22;25.22;25.22;25.22
24/01/1929;25.06;25.06;25.06;25.06
25/01/1929;25.48;25.48;25.48;25.48
28/01/1929;25.35;25.35;25.35;25.35
29/01/1929;25.36;25.36;25.36;25.36
30/01/1929;25.45;25.45;25.45;25.45
31/01/1929;25.74;25.74;25.74;25.74
01/02/1929;25.84;25.84;25.84;25.84
04/02/1929;25.64;25.64;25.64;25.64
05/02/1929;25.7;25.7;25.7;25.7
06/02/1929;25.49;25.49;25.49;25.49
07/02/1929;24.71;24.71;24.71;24.71
08/02/1929;24.44;24.44;24.44;24.44
11/02/1929;24.98;24.98;24.98;24.98
12/02/1929;24.98;24.98;24.98;24.98
13/02/1929;24.95;24.95;24.95;24.95
14/02/1929;24.85;24.85;24.85;24.85
15/02/1929;24.35;24.35;24.35;24.35
18/02/1929;24.39;24.39;24.39;24.39
19/02/1929;24.38;24.38;24.38;24.38
20/02/1929;24.59;24.59;24.59;24.59
21/02/1929;24.86;24.86;24.86;24.86
22/02/1929;24.86;24.86;24.86;24.86
25/02/1929;24.91;24.91;24.91;24.91
26/02/1929;24.95;24.95;24.95;24.95
27/02/1929;25.25;25.25;25.25;25.25
28/02/1929;25.59;25.59;25.59;25.59
01/03/1929;25.83;25.83;25.83;25.83
04/03/1929;25.49;25.49;25.49;25.49
05/03/1929;25.32;25.32;25.32;25.32
06/03/1929;24.92;24.92;24.92;24.92
07/03/1929;25.15;25.15;25.15;25.15
08/03/1929;25.31;25.31;25.31;25.31
11/03/1929;24.95;24.95;24.95;24.95
12/03/1929;24.97;24.97;24.97;24.97
13/03/1929;25.24;25.24;25.24;25.24
14/03/1929;25.73;25.73;25.73;25.73
15/03/1929;26.08;26.08;26.08;26.08
18/03/1929;26.04;26.04;26.04;26.04
19/03/1929;26.03;26.03;26.03;26.03
20/03/1929;26.02;26.02;26.02;26.02
21/03/1929;25.9;25.9;25.9;25.9
22/03/1929;25.55;25.55;25.55;25.55
25/03/1929;24.51;24.51;24.51;24.51
26/03/1929;24.35;24.35;24.35;24.35
27/03/1929;25.09;25.09;25.09;25.09
28/03/1929;25.53;25.53;25.53;25.53
29/03/1929;25.53;25.53;25.53;25.53
01/04/1929;24.88;24.88;24.88;24.88
02/04/1929;25.17;25.17;25.17;25.17
03/04/1929;24.86;24.86;24.86;24.86
04/04/1929;25.3;25.3;25.3;25.3
05/04/1929;25.05;25.05;25.05;25.05
08/04/1929;24.83;24.83;24.83;24.83
09/04/1929;24.63;24.63;24.63;24.63
10/04/1929;24.78;24.78;24.78;24.78
11/04/1929;25.06;25.06;25.06;25.06
12/04/1929;25.15;25.15;25.15;25.15
15/04/1929;25;25;25;25
16/04/1929;25.06;25.06;25.06;25.06
17/04/1929;25.32;25.32;25.32;25.32
18/04/1929;25.43;25.43;25.43;25.43
19/04/1929;25.41;25.41;25.41;25.41
22/04/1929;25.7;25.7;25.7;25.7
23/04/1929;25.85;25.85;25.85;25.85
24/04/1929;25.75;25.75;25.75;25.75
25/04/1929;25.63;25.63;25.63;25.63
26/04/1929;25.58;25.58;25.58;25.58
29/04/1929;25.53;25.53;25.53;25.53
30/04/1929;25.94;25.94;25.94;25.94
01/05/1929;25.99;25.99;25.99;25.99
02/05/1929;26.11;26.11;26.11;26.11
03/05/1929;26.37;26.37;26.37;26.37
06/05/1929;26.32;26.32;26.32;26.32
07/05/1929;26.07;26.07;26.07;26.07
08/05/1929;26.18;26.18;26.18;26.18
09/05/1929;26.02;26.02;26.02;26.02
10/05/1929;26.34;26.34;26.34;26.34
13/05/1929;25.64;25.64;25.64;25.64
14/05/1929;25.95;25.95;25.95;25.95
15/05/1929;25.84;25.84;25.84;25.84
16/05/1929;25.97;25.97;25.97;25.97
17/05/1929;26.09;26.09;26.09;26.09
20/05/1929;25.39;25.39;25.39;25.39
21/05/1929;25.7;25.7;25.7;25.7
22/05/1929;24.76;24.76;24.76;24.76
23/05/1929;25.31;25.31;25.31;25.31
24/05/1929;25.12;25.12;25.12;25.12
27/05/1929;24.2;24.2;24.2;24.2
28/05/1929;24.59;24.59;24.59;24.59
29/05/1929;24.62;24.62;24.62;24.62
30/05/1929;24.62;24.62;24.62;24.62
31/05/1929;24.83;24.83;24.83;24.83
03/06/1929;25.27;25.27;25.27;25.27
04/06/1929;25.64;25.64;25.64;25.64
05/06/1929;25.59;25.59;25.59;25.59
06/06/1929;25.64;25.64;25.64;25.64
07/06/1929;25.53;25.53;25.53;25.53
10/06/1929;25.27;25.27;25.27;25.27
11/06/1929;25.43;25.43;25.43;25.43
12/06/1929;25.45;25.45;25.45;25.45
13/06/1929;25.84;25.84;25.84;25.84
14/06/1929;25.93;25.93;25.93;25.93
17/06/1929;26.41;26.41;26.41;26.41
18/06/1929;26.42;26.42;26.42;26.42
19/06/1929;26.32;26.32;26.32;26.32
20/06/1929;26.47;26.47;26.47;26.47
21/06/1929;26.62;26.62;26.62;26.62
24/06/1929;26.62;26.62;26.62;26.62
25/06/1929;26.9;26.9;26.9;26.9
26/06/1929;27.06;27.06;27.06;27.06
27/06/1929;27.11;27.11;27.11;27.11
28/06/1929;27.41;27.41;27.41;27.41
01/07/1929;27.77;27.77;27.77;27.77
02/07/1929;28.06;28.06;28.06;28.06
03/07/1929;28.18;28.18;28.18;28.18
04/07/1929;28.18;28.18;28.18;28.18
05/07/1929;28.32;28.32;28.32;28.32
08/07/1929;28.37;28.37;28.37;28.37
09/07/1929;28.28;28.28;28.28;28.28
10/07/1929;28.2;28.2;28.2;28.2
11/07/1929;28.26;28.26;28.26;28.26
12/07/1929;28.57;28.57;28.57;28.57
15/07/1929;28.45;28.45;28.45;28.45
16/07/1929;28.65;28.65;28.65;28.65
17/07/1929;28.72;28.72;28.72;28.72
18/07/1929;28.66;28.66;28.66;28.66
19/07/1929;28.76;28.76;28.76;28.76
22/07/1929;28.43;28.43;28.43;28.43
23/07/1929;28.83;28.83;28.83;28.83
24/07/1929;28.64;28.64;28.64;28.64
25/07/1929;28.77;28.77;28.77;28.77
26/07/1929;28.66;28.66;28.66;28.66
29/07/1929;28.18;28.18;28.18;28.18
30/07/1929;28.5;28.5;28.5;28.5
31/07/1929;28.88;28.88;28.88;28.88
01/08/1929;29.08;29.08;29.08;29.08
02/08/1929;29.56;29.56;29.56;29.56
05/08/1929;29.54;29.54;29.54;29.54
06/08/1929;29.43;29.43;29.43;29.43
07/08/1929;29.13;29.13;29.13;29.13
08/08/1929;29.47;29.47;29.47;29.47
09/08/1929;28.38;28.38;28.38;28.38
12/08/1929;29.27;29.27;29.27;29.27
13/08/1929;29.53;29.53;29.53;29.53
14/08/1929;29.62;29.62;29.62;29.62
15/08/1929;29.67;29.67;29.67;29.67
16/08/1929;30.22;30.22;30.22;30.22
19/08/1929;30.5;30.5;30.5;30.5
20/08/1929;30.68;30.68;30.68;30.68
21/08/1929;30.55;30.55;30.55;30.55
22/08/1929;30.79;30.79;30.79;30.79
23/08/1929;31.09;31.09;31.09;31.09
26/08/1929;31.07;31.07;31.07;31.07
27/08/1929;31.05;31.05;31.05;31.05
28/08/1929;30.99;30.99;30.99;30.99
29/08/1929;31.29;31.29;31.29;31.29
30/08/1929;31.71;31.71;31.71;31.71
02/09/1929;31.71;31.71;31.71;31.71
03/09/1929;31.82;31.82;31.82;31.82
04/09/1929;31.72;31.72;31.72;31.72
05/09/1929;31.02;31.02;31.02;31.02
06/09/1929;31.83;31.83;31.83;31.83
09/09/1929;31.67;31.67;31.67;31.67
10/09/1929;31.1;31.1;31.1;31.1
11/09/1929;31.53;31.53;31.53;31.53
12/09/1929;31.17;31.17;31.17;31.17
13/09/1929;31.38;31.38;31.38;31.38
16/09/1929;31.86;31.86;31.86;31.86
17/09/1929;31.6;31.6;31.6;31.6
18/09/1929;31.68;31.68;31.68;31.68
19/09/1929;31.73;31.73;31.73;31.73
20/09/1929;31.39;31.39;31.39;31.39
23/09/1929;31.38;31.38;31.38;31.38
24/09/1929;30.8;30.8;30.8;30.8
25/09/1929;30.85;30.85;30.85;30.85
26/09/1929;31.13;31.13;31.13;31.13
27/09/1929;30.27;30.27;30.27;30.27
30/09/1929;30.16;30.16;30.16;30.16
01/10/1929;29.98;29.98;29.98;29.98
02/10/1929;30.2;30.2;30.2;30.2
03/10/1929;28.95;28.95;28.95;28.95
04/10/1929;28.65;28.65;28.65;28.65
07/10/1929;30.44;30.44;30.44;30.44
08/10/1929;30.34;30.34;30.34;30.34
09/10/1929;30.27;30.27;30.27;30.27
10/10/1929;30.81;30.81;30.81;30.81
11/10/1929;30.76;30.76;30.76;30.76
14/10/1929;30.55;30.55;30.55;30.55
15/10/1929;30.3;30.3;30.3;30.3
16/10/1929;29.24;29.24;29.24;29.24
17/10/1929;29.69;29.69;29.69;29.69
18/10/1929;28.84;28.84;28.84;28.84
21/10/1929;27.73;27.73;27.73;27.73
22/10/1929;28.27;28.27;28.27;28.27
23/10/1929;26.6;26.6;26.6;26.6
24/10/1929;25.75;25.75;25.75;25.75
25/10/1929;26.12;26.12;26.12;26.12
28/10/1929;22.74;22.74;22.74;22.74
29/10/1929;20.43;20.43;20.43;20.43
30/10/1929;22.99;22.99;22.99;22.99
31/10/1929;24.15;24.15;24.15;24.15
01/11/1929;24.15;24.15;24.15;24.15
04/11/1929;22.88;22.88;22.88;22.88
05/11/1929;22.88;22.88;22.88;22.88
06/11/1929;20.61;20.61;20.61;20.61
07/11/1929;21.37;21.37;21.37;21.37
08/11/1929;21.18;21.18;21.18;21.18
11/11/1929;19.86;19.86;19.86;19.86
12/11/1929;18.73;18.73;18.73;18.73
13/11/1929;17.66;17.66;17.66;17.66
14/11/1929;19.24;19.24;19.24;19.24
15/11/1929;20.3;20.3;20.3;20.3
18/11/1929;20.09;20.09;20.09;20.09
19/11/1929;20.7;20.7;20.7;20.7
20/11/1929;21.27;21.27;21.27;21.27
21/11/1929;21.61;21.61;21.61;21.61
22/11/1929;21.53;21.53;21.53;21.53
25/11/1929;21.28;21.28;21.28;21.28
26/11/1929;20.66;20.66;20.66;20.66
27/11/1929;20.92;20.92;20.92;20.92
28/11/1929;20.92;20.92;20.92;20.92
29/11/1929;20.92;20.92;20.92;20.92
02/12/1929;20.95;20.95;20.95;20.95
03/12/1929;21.65;21.65;21.65;21.65
04/12/1929;22.05;22.05;22.05;22.05
05/12/1929;21.87;21.87;21.87;21.87
06/12/1929;22.45;22.45;22.45;22.45
09/12/1929;22.4;22.4;22.4;22.4
10/12/1929;22.57;22.57;22.57;22.57
11/12/1929;22.38;22.38;22.38;22.38
12/12/1929;21.17;21.17;21.17;21.17
13/12/1929;21.7;21.7;21.7;21.7
16/12/1929;21.33;21.33;21.33;21.33
17/12/1929;21.56;21.56;21.56;21.56
18/12/1929;21.42;21.42;21.42;21.42
19/12/1929;20.85;20.85;20.85;20.85
20/12/1929;20.16;20.16;20.16;20.16
23/12/1929;20.26;20.26;20.26;20.26
24/12/1929;20.39;20.39;20.39;20.39
25/12/1929;20.39;20.39;20.39;20.39
26/12/1929;20.84;20.84;20.84;20.84
27/12/1929;20.82;20.82;20.82;20.82
30/12/1929;20.89;20.89;20.89;20.89
31/12/1929;21.45;21.45;21.45;21.45
01/01/1930;21.45;21.45;21.45;21.45
02/01/1930;21.18;21.18;21.18;21.18
03/01/1930;21.23;21.23;21.23;21.23
06/01/1930;21.5;21.5;21.5;21.5
07/01/1930;21.31;21.31;21.31;21.31
08/01/1930;21.29;21.29;21.29;21.29
09/01/1930;21.62;21.62;21.62;21.62
10/01/1930;21.55;21.55;21.55;21.55
13/01/1930;21.52;21.52;21.52;21.52
14/01/1930;21.56;21.56;21.56;21.56
15/01/1930;21.65;21.65;21.65;21.65
16/01/1930;21.5;21.5;21.5;21.5
17/01/1930;21.31;21.31;21.31;21.31
20/01/1930;21.5;21.5;21.5;21.5
21/01/1930;21.61;21.61;21.61;21.61
22/01/1930;21.63;21.63;21.63;21.63
23/01/1930;21.84;21.84;21.84;21.84
24/01/1930;22.04;22.04;22.04;22.04
27/01/1930;22.21;22.21;22.21;22.21
28/01/1930;22.1;22.1;22.1;22.1
29/01/1930;22.35;22.35;22.35;22.35
30/01/1930;22.47;22.47;22.47;22.47
31/01/1930;22.79;22.79;22.79;22.79
03/02/1930;22.74;22.74;22.74;22.74
04/02/1930;23.01;23.01;23.01;23.01
05/02/1930;23.31;23.31;23.31;23.31
06/02/1930;23.06;23.06;23.06;23.06
07/02/1930;22.97;22.97;22.97;22.97
10/02/1930;23.12;23.12;23.12;23.12
11/02/1930;23.32;23.32;23.32;23.32
12/02/1930;23.32;23.32;23.32;23.32
13/02/1930;23.36;23.36;23.36;23.36
14/02/1930;23.35;23.35;23.35;23.35
17/02/1930;23.26;23.26;23.26;23.26
18/02/1930;23.28;23.28;23.28;23.28
19/02/1930;23.07;23.07;23.07;23.07
20/02/1930;22.64;22.64;22.64;22.64
21/02/1930;22.92;22.92;22.92;22.92
24/02/1930;22.68;22.68;22.68;22.68
25/02/1930;22.69;22.69;22.69;22.69
26/02/1930;23.11;23.11;23.11;23.11
27/02/1930;23.08;23.08;23.08;23.08
28/02/1930;23.28;23.28;23.28;23.28
03/03/1930;23.36;23.36;23.36;23.36
04/03/1930;23.54;23.54;23.54;23.54
05/03/1930;23.36;23.36;23.36;23.36
06/03/1930;23.59;23.59;23.59;23.59
07/03/1930;23.59;23.59;23.59;23.59
10/03/1930;23.67;23.67;23.67;23.67
11/03/1930;23.72;23.72;23.72;23.72
12/03/1930;23.46;23.46;23.46;23.46
13/03/1930;23.6;23.6;23.6;23.6
14/03/1930;23.45;23.45;23.45;23.45
17/03/1930;23.67;23.67;23.67;23.67
18/03/1930;23.9;23.9;23.9;23.9
19/03/1930;24.03;24.03;24.03;24.03
20/03/1930;24.14;24.14;24.14;24.14
21/03/1930;24.29;24.29;24.29;24.29
24/03/1930;24.28;24.28;24.28;24.28
25/03/1930;24.25;24.25;24.25;24.25
26/03/1930;24.62;24.62;24.62;24.62
27/03/1930;24.57;24.57;24.57;24.57
28/03/1930;24.85;24.85;24.85;24.85
31/03/1930;25.14;25.14;25.14;25.14
01/04/1930;25.37;25.37;25.37;25.37
02/04/1930;25.11;25.11;25.11;25.11
03/04/1930;25.16;25.16;25.16;25.16
04/04/1930;25.54;25.54;25.54;25.54
07/04/1930;25.6;25.6;25.6;25.6
08/04/1930;25.46;25.46;25.46;25.46
09/04/1930;25.87;25.87;25.87;25.87
10/04/1930;25.92;25.92;25.92;25.92
11/04/1930;25.84;25.84;25.84;25.84
14/04/1930;25.73;25.73;25.73;25.73
15/04/1930;25.74;25.74;25.74;25.74
16/04/1930;25.56;25.56;25.56;25.56
17/04/1930;25.75;25.75;25.75;25.75
18/04/1930;25.75;25.75;25.75;25.75
21/04/1930;25.29;25.29;25.29;25.29
22/04/1930;25.5;25.5;25.5;25.5
23/04/1930;25.55;25.55;25.55;25.55
24/04/1930;25.35;25.35;25.35;25.35
25/04/1930;25.32;25.32;25.32;25.32
28/04/1930;24.76;24.76;24.76;24.76
29/04/1930;24.73;24.73;24.73;24.73
30/04/1930;24.9;24.9;24.9;24.9
